os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
60.0581,16.6506,29.2407,0,85,56,74,1844,875,3.95554,92,5.67689,0,3.48359,4441,174284059386
59.3437,16.851,28.4553,0,92,56,74,1829,875,3.95554,99,5.67561,0,3.48153,4441,175284510957
60.0513,16.6524,27.9146,0,94,56,74,1849,875,3.95546,103,5.67535,0,3.48229,4441,176284613323
59.9105,16.6916,25.4545,0,94,56,75,1779,875,3.95539,101,5.67604,0,3.48251,4416,177284671376
59.4523,16.8202,25.3682,0,81,56,74,1628,875,3.95539,85,5.67832,0,3.48743,4411,178284769194
60.0866,16.6426,24.7492,0,79,56,73,1496,875,3.95539,68,5.67831,0,3.48743,4380,179284851492
60.1478,16.6257,23.9865,0,79,56,73,1440,875,3.95539,66,5.67841,0,3.488,4422,180284935854
59.7606,16.7334,24,0,79,56,73,1471,875,3.95539,73,5.67866,0,3.488,4441,181285013654
59.9894,16.6696,23.0016,0,80,56,73,1481,875,3.95539,81,5.67865,0,3.488,4441,182285092326
59.969,16.6753,24.8333,0,80,56,73,1434,875,3.95539,80,5.67862,0,3.49054,4441,183285173573
60.0923,16.6411,24.792,0,80,56,73,1396,875,3.95539,78,5.67905,0,3.49054,4416,184285253967
60.0222,16.6605,23.9024,0,83,56,73,1700,875,3.95539,88,5.67927,0,3.49065,4391,185285331497
60.1053,16.6375,26.9044,0,85,56,74,1831,875,3.95539,94,5.68094,0,3.49348,4404,186285414146
59.9405,16.6832,25.5354,0,94,56,74,1827,875,3.95554,104,5.68093,0,3.49361,4441,187285501584
59.8747,16.7015,27.2873,0,92,56,74,1830,875,3.95546,102,5.68091,0,3.49375,4392,188285580516
60.0585,16.6504,27.5527,0,92,56,74,1838,875,3.95546,101,5.68287,0,3.49577,4416,189285672122
60.0903,16.6416,27.4797,0,92,56,75,1840,875,3.95546,101,5.68391,0,3.49667,4408,190285774398
60.1393,16.628,27.5693,0,92,56,74,1845,875,3.95546,102,5.67417,0,3.48222,4416,191285875141
60.0178,16.6617,27.0049,0,92,56,75,1816,875,3.95546,102,5.67611,0,3.48222,4416,192285955416
60.1274,16.6313,27.7147,0,89,56,75,1843,875,3.95546,99,5.67609,0,3.48246,4441,193286048965
60.2831,16.5884,26.4856,0,89,56,74,1787,875,3.95546,98,5.67599,0,3.48248,4441,194286127817
59.9299,16.6862,27.9534,0,82,56,74,1703,875,3.95546,87,5.67731,0,3.48553,4417,195286204866
59.872,16.7023,24.3464,0,78,56,73,1376,875,3.95546,62,5.67798,0,3.48566,4201,196286282285
60.1453,16.6264,25,0,79,56,73,1271,875,3.95546,56,5.68013,0,3.48765,4440,197286361307
59.8795,16.7002,24.5928,0,79,56,72,1315,875,3.95546,56,5.68036,0,3.4882,4438,198286440530
60.0597,16.6501,25.1216,0,80,56,72,1330,875,3.95539,58,5.71603,0,3.48728,4416,199286524141
59.8185,16.7172,24.8366,0,79,56,72,1332,875,3.95539,56,5.71625,0,3.48662,4392,200286602612
60.0991,16.6392,25.1223,0,79,56,71,1374,875,3.95539,57,5.68462,0,3.48663,4387,201286679971
60.0309,16.6581,26.2903,0,79,56,71,1348,875,3.95539,55,5.6846,0,3.48663,4441,202286730520
60.0341,16.6572,26.0504,0,80,56,72,1620,875,3.95539,72,5.68191,0,3.48377,4441,203286810334
59.7745,16.7295,25.2459,0,79,56,72,1484,875,3.95539,67,5.67572,0,3.48377,4416,204286886561
59.8967,16.6954,27.1186,0,83,56,72,1711,875,3.95539,86,5.67569,0,3.48377,4391,205286964561
59.9326,16.6854,29.0375,0,88,56,73,1781,875,3.96367,99,5.67677,0,3.48481,4394,206287047280
63.2439,15.8118,28.3051,0,91,56,73,1822,875,3.96367,100,5.67722,0,3.48485,4397,207287128176
60.129,16.6309,28.8744,0,88,57,74,1761,875,3.96367,97,5.68444,0,3.49048,4415,208287221245
60.0598,16.6501,27.563,0,84,57,74,1778,875,3.96367,93,5.68222,0,3.48544,4431,209287320605
59.9465,16.6815,26.5905,0,83,57,73,1695,875,3.96367,91,5.67951,0,3.48302,4416,210287401802
